S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
129,SIA/MP/MIN/523545/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/125063/2023",BHADAWAR DOLOMITE MINE,MADHYA PRADESH,KOTUHURU PRABHAKAR RAO,Category: B1 Sector: Non-Coal Mining Date of Submission: 05/02/2026,SEIAA,Under Verification,"Dolomite is one of the most accessible natural resources, and is a major basic raw material used in construction, manufacturing of Cement. area-7.507ha, Old khasra no-352, 354/6, 354/8, 355, 379, 380/3, New khasra no-510,669,640/3, at Village-Bhadawar, Tehsil-Badwara, Distt-. Katni,"
130,SIA/MP/MIN/565643/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270980/2026",HIRDENAGAR SAND QUARRY (,MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is new Proposal. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Hirdenagar Sand Quarry located in Village- Hirdenagar, Tehsil- Mandla, District- Mandla, State- Madhya Pradesh over an area of 3.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The project falls under Schedule 1 (a) (i"
131,IA/MP/IND3/564362/2026,Clearance Type: Application for No Increase in Pollution Load - Form-10 S/W No.: SW/100928/2022,Angeel Oak Speciality Chemtech Pvt Ltd,MADHYA PRADESH,ANGEEL OAK SPECIALITY CHEMTECH PRIVATE LIMITED,Category: B1 Sector: Date of Submission: 14/01/2026,MOEFCC,INTIMATED,New API & API Intermediates project Total Production capacity -1839 MTPA Bromine 292.13 MTPA shall be obtained in the production processes & shall be re utilized within the process or will be send to authorized recycler. Spent HCl-2167.13 MTPA & spent Sulphuric Acid -1396 MTPA shall be obtained in the production processes of various APIs & will be sent to authorized recycler /TSDF Investment -70 Crores ZLD-based ETP with MEE and ATFD CSTP developed by DMIC Vikramudyogpuri shall be used for sewag
132,SIA/MP/MIN/479329/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188204/2024,Jeerabad Limestone Mines 4.999 Ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/06/2024,SEIAA,DELISTED BY SYSTEM (at : ),Name Change of Company from M/s Satguru Cement Private Limited to Sagar Cements (M) Private Limited in Environment Clearance
133,SIA/MP/MIN/558360/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242711/2025",Rajeev Jain Jijora Stone Mine Area- 1.050 ha,MADHYA PRADESH,RAJEEV JAIN,Category: B1 Sector: Non-Coal Mining Date of Submission: 05/02/2026,SEIAA,Under Verification,THIS IS A OPENCAST MINE AND ITS A OPERATING MINE WITH EC FROM DEIAA AND CTO FROM MPPCB APPLYING FOR REAPPRAISAL TO SEIAA FOR EC. WE HAVE PREPARED THE EIA/EMP FOR THE PROJECT CONSIDERING THE CLUSTER
134,SIA/MP/MIN/566626/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273240/2026","Titodi Stone (Gitti, Boulder & M-Sand) and Murram Quarry",MADHYA PRADESH,ISHWAR SINGH,Category: B2 Sector: Non-Coal Mining Date of Submission: 23/01/2026,SEIAA,Under Verification,"It is a Stone Quarry with a production capacity of 15,000 m3/year Gitti, 22,000 m3/year M-Sand, 3,000 m3/year Boulder and 6,117 m3/year murrum having a lease area of 2.50 hectare, at Khasra No. 157/1 (Govt. land) Village- Titodi, Tehsil- Tarana, District- Ujjain (M.P.)"
135,SIA/MP/INFRA2/564238/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271209/2026",Development of Common Bio-Medical Waste Treatment & Recycling Facility,MADHYA PRADESH,SHUDDHAVITA ECO SOLUTIONS PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 08/01/2026,SEIAA,Standard ToR Granted,"Dvelopment of Common Bio-Medical Waste Treatment & Recycling Facility located at Village Mahu Khasra No. 161/2 Panchayat Badaaamlya, Block Raghogarh, District- Guna, Madhya Pradesh."
136,IA/MP/MIN/479572/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188502/2024,Badiya Limestone Mine 4.999 Ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/06/2024,MOEFCC,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements (M) Private Limited
137,SIA/MP/MIN/562316/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269507/2025",Bakchheradona - 2 Sand Quarry,MADHYA PRADESH,SURENDRA NAMDEO,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Proposal pulled back (withdrawn),"Sand Quarry on Narmada River, Located at Khasra No. 370, Bakchheradona Village, Mandla Tehsil, Mandla District, Madhya Pradesh. Total lease area is 1.250 ha."
138,SIA/MP/MIN/558415/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242922/2025",Suresh Kumar Sarawagi Sitapur Stone Mine Area- 3.10 ha,MADHYA PRADESH,SURESH SARAOGI,Category: B1 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"Sitapur Stone Quarry mine is located at Khasra No.-226/1, Village –Sitapur, Tehsil Orchha, Distt. Niwari (M.P.).The capacity of quarry is for mining of Stone – 50000 cum /year"
139,SIA/MP/MIN/565288/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272097/2026",Amiliya Sand Quarry_9.00 ha,MADHYA PRADESH,PREM LAL DWIVEDI,Category: B1 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,Standard ToR Granted,"Sand Quarry on Son River, Located at Khasra No. 1/601, Amiliya Village, Manpur Tehsil, Umaria District, Madhya Pradesh.. Total lease area is 9.00 ha."
140,SIA/MP/MIN/565263/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272082/2026",Gonawadi Crusher Stone Quarry,MADHYA PRADESH,SHAILENDRA SINGH CHOUHAN,Category: B2 Sector: Non-Coal Mining Date of Submission: 31/01/2026,SEIAA,Under Verification,Crusher stone mining project
141,SIA/MP/MIN/567696/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274254/2026",Rangwasa Stone (Gitti & M-Sand) Quarry,MADHYA PRADESH,GHANSHYAM,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Examination,"This is an Expansion and DEIAA case. Rangwasa Stone (Gitti & M-Sand) Quarry is situated at Village: Rangwasa, Tehsil: Depalpur, District: Indore and State: Madhya Pradesh over an area of 3.10 Ha."
142,SIA/MP/MIN/562880/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270017/2025",BHANJAKHEDI-2 SAND QUARRY,MADHYA PRADESH,GIRISH KHANDWEKAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,Standard ToR Granted,"The proposed project is open cast manual and semi-mechanized mining. It has been proposed to collect sand, from the Narmada River Bed, Mining will be confined to the allotted lease area from which approximately 45,000 cubic meter/year will be excavated per annum"
143,SIA/MP/MIN/479670/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188619/2024,Ghursal Limestone Mine 8.941 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/06/2024,SEIAA,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements(M) Private Limited
144,IA/MP/MIN/562764/2026,Clearance Type: Application for Amendment in EC- Form-4 S/W No.: SW/140681/2023,"Majhgawan Diamond Mine of M/s. NMDC Ltd with total excavation of 13.90 LTPA [ROM Kimberlite ore @ 8 LTPA and Overburden removal @ 5.90 LTPA for production of 1.00 lakh carats of Diamonds per annum] within the mine lease area of 113.332 Ha (Main Lease) Located at Majhgawan, Tehsil & District Panna, Madhya Pradesh",MADHYA PRADESH,NMDC LIMITED,Category: A Sector: Non-Coal Mining Date of Submission: 07/02/2026,MOEFCC,Under Examination,"This is an existing project of M/s. NMDC Limited. The Diamond Mining Project comprises of Main Mining and Supplementary mining lease obtained EC on 13/1/2006 under EIA Notification 1994. The operations involved in Main Mining Lease includes excavating Kimberlite Ore and waste excavation. The Kimberlite ore is processed in processing plant situated in Supplementary Mining Lease located adjacent to MML for recovery of Diamonds. The present proposal is seeking EC from MOEFCC under EIA Notification,"
145,SIA/MP/MIN/509188/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/199533/2024,SUNDARWAHI STONE QUARRY,MADHYA PRADESH,SAJID KHAN,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/01/2026,SEIAA,Under Verification,"This is a stone quarry. It comes under the B2 Category. We are using the open-cast semi-mechanized mining method of Village- Sundarwahi, Tehsil- Birsa, District-Balaghat (Madhya Pradesh)Lease Area: 0.729Ha, Category of Project: ‘B2’ Khasra No –26/16 Part Production-: 5,000 M3/ Year"
146,SIA/MP/MIN/567545/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274098/2026","BISENTHA FLAG STONE,GITTY & M-SAND QUARRY",MADHYA PRADESH,puneet sharma,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Under Examination,"This is a flagstone, gitti & M-Sand quarry. It comes under the B1 Category. We are using an open-cast semi-mechanised mining method with an annual production is 42,500 Cub meters/Year(FlagStone-7500Cub Meter/Year, Gitti 15000 Cub Meter/Year & M-Sand-20000 Cub Meter/Year), Khasra no - 1228, Area - 4.00 Ha, Village- Bisentha, Tehsil – Morena(Banmore), District - Morena(M.P.)"
147,SIA/MP/MIN/524919/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/150967/2023","Didwara Stone Mine for making Gitti, M-Sand & Boulder",MADHYA PRADESH,RAMRAJA GRANITE,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Under Verification,"The project has been proposed for mining of Max 50000 M3 Annum of Stone by Opencast Manual/Semi Mechanized Method. The mine lease area is 1.754 ha. The expected life of the mine is 05 years. Water requirement for the proposed project for drinking use, dust suppression and other use will be 3.68 KLD which will be taken from nearby villages and supplied by private water tankers after obtaining necessary approval."
148,SIA/MP/MIN/562532/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269705/2025",Badkud Stone Quarry,MADHYA PRADESH,archana singh,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"It is a Stone quarry with a production capacity of 40,108 m³/year Stone having a lease area of 2.60 hectares , previously EC was issued by DEIAA Singrauli at Khasra No.- 1034/1 (Govt. Land) Village - Badkud, Tehsil- Chirangi, District- Singrauli (M.P.). Then we have applied a new application in Form-2 for fresh EC in SEIAA as per SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023 which is for 0 to 5 hectares. As our mine lease is falling in a cluster having cluster area more than"
149,SIA/MP/MIN/564024/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271023/2026,KAMTA MAL-1 SAND QUARRY (3.00Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,Proposal pulled back (withdrawn),"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Kamta Mal Sand Quarry located in Village- Kamta Mal, Tehsil- Bichhiya, District- Mandla, State- Madhya Pradesh over an area of 3.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method.The project falls under Schedule 1 (a) (i) o"
150,SIA/MP/MIN/565235/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/219812/2024",M/S EARTH STONE CRUSHER,MADHYA PRADESH,earth stone,Category: B1 Sector: Non-Coal Mining Date of Submission: 15/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"It is a stone quarry with a production capacity of 48017 cubic meter per year having a lease area of 3.959 hectares, previously EC was issued by DEIAA Sehore at Khasra No. 88/1, Village- Bamaladad, Tehsil-Ichhawar, District-Sehore (M.P.). Now we are applying for fresh EC in SEIAA as per SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023."
151,SIA/MP/MIN/565614/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270970/2026",BARBASPUR-2 SAND QUARRY (2.00Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Government of Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024for grant of Mining Lease for Barbaspur-2 Sand Quarry located in Village- Barbaspur-2, Tehsil- Bichhiya, District- Mandla, State- Madhya Pradesh over an area of 2.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The proje"
152,SIA/MP/MIN/565303/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272106/2026",Banjari Stone (Gitti & M -Sand) & Murrum Quarry,MADHYA PRADESH,SUPRIYA SARDA,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"It is a Stone (Gitti & M -Sand) & Murrum Quarry with a production capacity of 10,000 cubic meter per year Gitti, Max. 39,000 cubic meter per year M-Sand 5826 cubic meter per year Murrum having a lease area of 3.80 hectares, at Khasra 596/2/3, 596/1, 596/3, 597/1, 597/2 & 598 Village- Banjari, Tehsil- Mahidpur District- Ujjain (M.P.)."
153,SIA/MP/MIN/537498/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/247118/2025",KAJARWADA STONE AND BOLDER MINE,MADHYA PRADESH,samanvya iron and steel private limited,Category: B2 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Under Verification,"This is a stone mining project for making Gitti and Bolder having an area- 3.610ha., khasra no. 62, 63, at Village- Kajarwada, Tehsil - Nainpur, District – Mandla, State-Madhya Pradesh"
154,SIA/MP/MIN/564844/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271739/2026","Sakari, Khursipur, Arandiya Sand Quarry_21.00 ha",MADHYA PRADESH,JITENDRA CHANDEL,Category: B1 Sector: Non-Coal Mining Date of Submission: 28/01/2026,SEIAA,Standard ToR Granted,"Sand Quarry on Hirri River, Located at Survey No. 671, 01, 507, Sakari, Khursipur, Arandiya Village, Keolari Tehsil, Seoni District, Madhya Pradesh. Total lease area is 21.00 ha."
155,SIA/MP/MIN/565449/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272228/2026","IMJHAR STONE, BOULDER, MURRUM, M-SAND QUARRY LEASE located at Khasra No.: 465,467, Village- Imjhar, Tehsil- Shahpura, Dist- Jabalpur, State- Madhya Pradesh",MADHYA PRADESH,KUNAL GROVER,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,EDS raised,"This is an existing mining project for which Environmental Clearance (EC) was earlier granted by the District Environment Impact Assessment Authority (DEIAA), Jabalpur, in the year 2016, in favour of the then lessee Shri Jagatlal Maravi, vide letter No. 35/DEIAA/2016 dated 02.06.2016, for a mine lease area of 1.96 ha with an approved production capacity of 8,550 m³/year. Subsequently, the said Environmental Clearance was transferred in favour of Shri Kunal Grover in the year 2020 by the State En"
156,SIA/MP/MIN/566560/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273179/2026,Banda Murum Quarry,MADHYA PRADESH,SHRI RAM MINING CORPORATION,Category: B2 Sector: Non-Coal Mining Date of Submission: 23/01/2026,SEIAA,Referred to SEAC,"Banda Murum Quarry Lease of 2.400 Hectare Area, Khasra No. 624, in Village - Banda, Tehsil - Katni, District – Katni (M.P.) (Maximum Production – 19,818 Cubic Meter/Year)"
157,SIA/MP/MIN/522722/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/233274/2025",Palsud Stone Mine-2.0ha,MADHYA PRADESH,pradeep gole,Category: B2 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,Under Verification,"“PALSUD STONE MINE (Expansion) of Shri Pradeep Gole S/o Shri Anesh Gole”, having an area of 2.0 Ha, Existing Production Capacity from 3045 cum per annum to Proposed Production Capacity -19,950 cum per annum at Khasra No- 602/1, 597/1 Ka at Village-Palsud, Tehsil Rajpur, District Barwani, (M.P.)"
158,SIA/MP/MIN/567254/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273799/2026",Nevri Murrum & Stone (Gitti & M-Sand) Quarry,MADHYA PRADESH,arsh stone mines,Category: B1 Sector: Non-Coal Mining Date of Submission: 31/01/2026,SEIAA,Standard ToR Granted,"It is a Stone Quarry with a production capacity of 9,975 m3/year Murrum, Max. 30,000 m3/year Gitti, and 30,000 m3/year M-Sand having a lease area of 3.59 hectare, at Khasra No. 1852, 1853, 1854, 1952 & 1953 (Pvt. land) Village - Nevri, Tehsil- Hatpipliya, District- Dewas(M.P.)"
159,SIA/MP/MIN/566788/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/235520/2025",RAMANNAA CRUSHER STONE QUARRY,MADHYA PRADESH,DEVENDRA LODHI,Category: B1 Sector: Non-Coal Mining Date of Submission: 26/01/2026,SEIAA,Under Verification,"IT IS B-1 CATEGORY STONE/GITTI QUARRY PROJECT, PROJECT IS LOCATED AT SURVEY NO. 23/1-3, IN VILLAGE RAMANNAA, TEHSIL - DEORI, DISTRICT - SAGAR, STATE - MADHYA PRADESH, TOTAL QUARRY LEASE AREA - 3.00HA."
160,IA/MP/RIV/558036/2026,Clearance Type: Application for Transfer of ToR - Form-8 S/W No.: SW/265593/2025,Panari Pumped Storage Project,MADHYA PRADESH,PANARI ENERGY PRIVATE LIMITED,Category: A Sector: River Valley and Hydroelectric Projects Date of Submission: 27/01/2026,MOEFCC,Under Processing with Authority,"Panari Energy Private Limited. proposes to develop Pumped Storage Project (PSP) near Panna Village, Panna (T) , Panna District and Salikpur (V), Majhgaon (T) Satna (D) , Madhya Pradesh. The total capacity of proposed PSP is 1800 MW (16200 MWH) and it is proposed that One-time requirement of 1.62 TMC of water will be lifted from existing nearby Nala (Baghain Nadi), out of which 1.14 TMC of water will be used for power generation by re-circulation with 9 hours storage capacity. The total land requ"
161,SIA/MP/MIN/563292/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270364/2025",RAWLAS-1 SAND QUARRY,MADHYA PRADESH,GIRISH KHANDWEKAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"The Madhya Pradesh State Mining Corporation Limited proposes for sand excavation from a quarry lease area measuring 10.000 hectares, located in Khasra No. 164, Rawlas Village, Khategaon Tehsil, Dewas District, Madhya Pradesh. The mining activity will be carried out using an open-cast manual method. The entire lease area lies on government land (river bed area) Narmada River. The proposed annual sand excavation quantity is 1,80,000 Cum/ Year"
162,SIA/MP/MIN/566282/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272771/2026","Expansion of Manganese mines from production capacity of 1,20,000 to 2,16,000 TPA in an area of 73.567 ha at Lugma & Ukwa village, Paraswara tehsil, Balaghat district, Madhya Pradesh",MADHYA PRADESH,MOIL LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 22/01/2026,SEIAA,EDS raised,"The project area is spread over 73.567ha. The existing rated capacity of the mine is 1,20,000 TPA of manganese ore. The present proposal envisages of ore production 2,16,000 TPA without increase in project area.The entire mine area falls under the revenue land, government and Forest land."
163,SIA/MP/MIN/562815/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269953/2025",BHANJAKHEDI-1 SAND QUARRY,MADHYA PRADESH,GIRISH KHANDWEKAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,Standard ToR Granted,"The proposed project is open cast manual and semi-mechanized mining. It has been proposed to collect sand, from the Narmada River Bed, Mining will be confined to the allotted lease area from which approximately 72,000 cubic meter/year will be excavated per annum"
164,SIA/MP/MIN/566880/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273462/2026",Tonkkalan Murram & Stone (Gitti & M-Sand) Quarry,MADHYA PRADESH,tirupati mining,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"It is a Stone & Murrum Quarry with a production capacity of max. 55,000 m3/ Year Gitti, 1,25,000 m3/Year M-Sand & Max. 16,865 m3/Year Murrum having a lease area of 6.747 hectares, at Khasra No. 1029 (Govt. land) Village - Tonkkalan, Tehsil- Tonkkhurd, District- Dewas (M.P.)"
165,SIA/MP/MIN/563504/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270543/2025",Jaloda Sha Crusher M-Sand Quarry,MADHYA PRADESH,ASHOK,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,Pending at MS SEIAA,"Village: Jaloda Sha, Tehsil: Mo.Badodiya, District: Shajapur, State: Madhya Pradesh"
166,SIA/MP/MIN/550978/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/259516/2025,Pipalkhiriya Soil Quarry Project,MADHYA PRADESH,OMPRAKASH MOOLCHANDANI,Category: B2 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Under Verification,"Village: Pipalkhiriya, Tehsil: Raisen, District: Raisen State- Madhya Pradesh."
167,SIA/MP/INFRA2/562490/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269404/2025",DATT SOLITARE DEVELOPER DATT REAL INFRA PVT. LTD. PHASE - 1 & 3,MADHYA PRADESH,VISHAL DATT,Category: B2 Sector: INFRA-2 Date of Submission: 03/01/2026,SEIAA,Under Verification,Building project
168,SIA/MP/MIN/563890/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270903/2026,Bakchheradona-3 Sand Quarry (1.400Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla dated 23.12.2024 for grant of Mining Lease for Bakchheradona-3 Sand Quarry located in Village- Bakchheradona, Tehsil- Mandla, District- Mandla, State- Madhya Pradesh over an area of 1.400 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Opencast semi-Mechanized mining method. The project fa"
169,SIA/MP/MIN/566849/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/244714/2025",RAMANNA CRUSHER STONE QUARRY LEASE,MADHYA PRADESH,DEVENDRA LODHI,Category: B1 Sector: Non-Coal Mining Date of Submission: 27/01/2026,SEIAA,Under Verification,"It Is a B1 Category Stone Quarry Project, Project is located at Survey No. 26/1, in Village - Ramanna, Tehsil - Deori, District Sagar (M.P.) Total Lease Area - 4.00 Ha."
170,SIA/MP/MIN/564846/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271740/2026",Nasipur Sand Quarry_6.40 ha,MADHYA PRADESH,JITENDRA CHANDEL,Category: B1 Sector: Non-Coal Mining Date of Submission: 28/01/2026,SEIAA,EDS raised,"Sand Quarry on Dhanai River, Located at Khasra Nos.448, Nasipur Village, Keolari Tehsil, Seoni District, Madhya Pradesh. Total lease area is 6.40 ha."
171,SIA/MP/MIN/564365/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271330/2026",Sindurkiya Stone & M-Sand Quarry (2.00 Ha),MADHYA PRADESH,MAHENDRA SOLANKI,Category: B1 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,Standard ToR Granted,"The Sindurkiya Stone & M-Sand Quarry (LOI letter no 779 / Khanij/2025-26, Ratlam dated 14-07-2025) is situated at Khasra no. 348/1, Village - Sindurkiya, Tehsil - Jaora, District - Ratlam, Madhya Pradesh over an area of 2.000 Ha. The concerned Sindurkiya Stone & M-Sand Quarry Mining Project is proposed by Shri Mahendra Singh Solanki S/O Shri Manohar Singh Solanki. The project proponent is intended to the maximum 96,432 Cubic Meter Per Annum (Stone & M-sand). The estimated project cost is Rs.70 L"
172,SIA/MP/MIN/562502/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/269683/2025,Umriya Ojhi Crusher Stone Quarry,MADHYA PRADESH,RAM KISHOR SAHU,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,Stone is mined out and crusher as per market demand.
173,SIA/MP/MIN/508291/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/219699/2024,Bajaranggarh Stone Quarry,MADHYA PRADESH,NARENDRA SHIVHAREY,Category: B2 Sector: Non-Coal Mining Date of Submission: 22/01/2026,SEIAA,EDS raised,"It is a stone quarry with a production capacity of 5700 m3/year Stone having a lease area of 2.00 hectares, previously EC was issued by DEIAA Guna at Khasra No. 493 Village Bajranggarh , Tehsil Guna, District Guna (M.P.). Now we are applying for fresh EC/Reappraisal in MP-SEIAA as per the Honourable NGT OA 142 of 2022 dtd 07-12-2022."
